Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,      6,     6.00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JarArchiveModel).gremlin().has(fileName,REGEX,.*hibernate.*\.jar$).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hibernate OGM (embedded)).as(default)"
     1,     77,    77.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.76.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Derby Driver).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Ignite (embedded)).as(default)"
     1,     94,    94.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CambioDeLaFechaContableBoImpBeanLocal_java.html)"
     1,     32,    32.00, sortDependencyGroupArchivesByPathAscending
     1,     27,    27.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.9.html)"
     1,     72,    72.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.74.html)"
     1,     94,    94.00, "FreeMarkerIterationOperation.render(/reports/templates/server.ftl, server_resources_AdministracionEfectivo_EAR_module.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jamon (embedded)).as(default)"
  4162,   6105,     1.47, "TypeReferenceService.createTypeReference(fileModel,location,lineNumber,columnNumber,length,source)"
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SubBoveda_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Istio (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Zbus Client (embedded)).as(default)"
     2,    583,   291.50, sortTechUsageStats
     1,     57,    57.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatEventosBitacora_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Orion Web XML).as(default)"
     1,     60,    60.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AuditoriaOperacionProcesadoraGridMB_java.html)"
